,workclass,education,marital.status,occupation,relationship,race,sex,hours.per.week,native.country,income,capital.diff,age.group
49,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,-2457,66-90
50,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,45,United-States,>50K,-2444,36-45
51,Private,HS-grad,Widowed,Sales,Not-in-family,White,Female,72,United-States,>50K,-2444,46-55
52,State-gov,Assoc-voc,Divorced,Tech-support,Not-in-family,White,Male,39,United-States,>50K,-2444,46-55
53,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,>50K,-2444,36-45
54,Private,Masters,Never-married,Sales,Not-in-family,White,Male,45,United-States,>50K,-2444,36-45
55,Private,Bachelors,Never-married,Exec-managerial,Other-relative,White,Male,50,United-States,>50K,-2444,26-35
56,Private,Some-college,Separated,Craft-repair,Not-in-family,White,Male,45,United-States,>50K,-2444,46-55
57,Local-gov,Some-college,Never-married,Protective-serv,Not-in-family,White,Male,40,United-States,>50K,-2444,36-45
58,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,45,United-States,>50K,-2444,36-45
59,Private,Assoc-voc,Separated,Craft-repair,Not-in-family,White,Male,42,United-States,>50K,-2444,26-35
60,Private,Assoc-acdm,Divorced,Craft-repair,Not-in-family,White,Male,70,United-States,>50K,-2444,36-45
61,Self-emp-inc,11th,Never-married,Exec-managerial,Other-relative,White,Male,40,United-States,>50K,-2444,46-55
62,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,6,United-States,>50K,-2415,36-45
63,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,40,China,>50K,-2415,46-55
64,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,-2415,36-45
65,Self-emp-inc,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,70,United-States,>50K,-2415,56-65
66,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,-2415,36-45
67,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,Greece,>50K,-2415,46-55
68,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,>50K,-2415,36-45
69,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,-2415,36-45
70,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,55,United-States,>50K,-2415,46-55
71,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,-2415,46-55
72,Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K,-2415,36-45
73,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,-2415,46-55
74,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,65,United-States,>50K,-2415,36-45
75,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,-2415,36-45
76,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,12,United-States,>50K,-2415,36-45
77,Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,65,United-States,>50K,-2415,46-55
78,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,-2415,36-45
79,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,48,United-States,>50K,-2415,26-35
80,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K,-2415,36-45
81,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,80,United-States,>50K,-2415,56-65
82,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,Taiwan,>50K,-2415,26-35
83,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,>50K,-2415,56-65
84,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K,-2415,36-45
85,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,-2415,36-45
86,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K,-2415,36-45
87,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,55,United-States,>50K,-2415,36-45
88,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,-2415,46-55
89,Self-emp-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,>50K,-2415,36-45
90,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,67,India,>50K,-2415,36-45
91,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,-2415,46-55
92,Private,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,99,United-States,>50K,-2415,36-45
93,Self-emp-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,>50K,-2415,56-65
94,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,40,United-States,>50K,-2415,26-35
95,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,35,Philippines,>50K,-2415,46-55
96,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,80,United-States,>50K,-2415,46-55
97,Self-emp-inc,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,-2415,36-45
98,Private,Prof-school,Married-civ-spouse,Sales,Husband,White,Male,99,United-States,>50K,-2415,36-45
99,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K,-2415,56-65
100,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,-2415,46-55
101,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,>50K,-2415,46-55
102,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,-2415,46-55
103,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,30,United-States,>50K,-2415,46-55
104,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Wife,White,Female,55,United-States,>50K,-2415,36-45
105,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,>50K,-2415,36-45
106,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,90,United-States,>50K,-2415,36-45
107,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K,-2415,46-55
108,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,20,United-States,>50K,-2415,46-55
109,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,-2415,46-55
110,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K,-2415,46-55
111,Private,Bachelors,Widowed,Exec-managerial,Not-in-family,White,Male,40,United-States,>50K,-2392,66-90
112,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,75,United-States,>50K,-2392,66-90
113,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,25,United-States,>50K,-2392,66-90
114,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,6,United-States,>50K,-2392,66-90
115,Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,-2392,46-55
116,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,-2392,66-90
117,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,-2392,66-90
118,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K,-2392,66-90
119,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,-2392,66-90
120,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,United-States,<=50K,-2377,26-35
121,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,-2377,66-90
122,Self-emp-inc,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K,-2377,46-55
123,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,<=50K,-2377,36-45
124,Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,12,United-States,>50K,-2377,66-90
125,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,Black,Female,20,United-States,<=50K,-2377,26-35
126,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K,-2377,26-35
127,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,-2377,17-25
128,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,26,United-States,>50K,-2377,66-90
129,Self-emp-not-inc,Doctorate,Married-civ-spouse,Sales,Husband,White,Male,25,United-States,>50K,-2377,66-90
130,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,-2377,66-90
131,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,55,United-States,>50K,-2377,66-90
132,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,42,United-States,>50K,-2377,66-90
133,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,-2377,56-65
134,Private,HS-grad,Married-civ-spouse,Sales,Husband,Black,Male,40,United-States,<=50K,-2377,46-55
135,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,<=50K,-2377,36-45
136,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,United-States,>50K,-2377,66-90
137,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,48,United-States,<=50K,-2377,17-25
138,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,-2377,26-35
139,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,-2377,66-90
140,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,<=50K,-2352,56-65
141,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,65,United-States,<=50K,-2352,56-65
142,Private,5th-6th,Divorced,Craft-repair,Not-in-family,White,Female,45,United-States,<=50K,-2339,46-55
143,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,55,United-States,<=50K,-2339,26-35
144,Local-gov,HS-grad,Widowed,Farming-fishing,Unmarried,White,Male,40,United-States,<=50K,-2339,56-65
145,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K,-2339,56-65
146,State-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,-2339,56-65
147,Self-emp-inc,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,50,United-States,<=50K,-2339,46-55
148,Private,Bachelors,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,40,United-States,<=50K,-2339,26-35
149,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,35,United-States,<=50K,-2339,17-25
150,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Black,Female,45,United-States,<=50K,-2339,46-55
151,Local-gov,HS-grad,Separated,Protective-serv,Other-relative,Black,Female,40,United-States,<=50K,-2339,56-65
152,State-gov,Some-college,Separated,Exec-managerial,Own-child,White,Male,40,United-States,<=50K,-2339,26-35
153,Private,Assoc-voc,Widowed,Prof-specialty,Not-in-family,White,Female,36,United-States,<=50K,-2339,36-45
154,Self-emp-not-inc,Masters,Divorced,Sales,Unmarried,White,Female,60,United-States,<=50K,-2339,56-65
155,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,-2339,36-45
156,Private,HS-grad,Never-married,Adm-clerical,Other-relative,Black,Female,40,Trinadad&Tobago,<=50K,-2339,36-45
157,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,40,Canada,<=50K,-2339,26-35
158,Self-emp-not-inc,Prof-school,Divorced,Other-service,Not-in-family,White,Female,35,United-States,<=50K,-2339,36-45
159,Private,Bachelors,Widowed,Prof-specialty,Not-in-family,White,Male,40,United-States,>50K,-2282,66-90
160,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,-2267,66-90
161,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,-2267,66-90
162,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,<=50K,-2267,46-55
163,Federal-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,-2258,56-65
164,Self-emp-not-inc,Some-college,Never-married,Farming-fishing,Own-child,White,Male,10,United-States,<=50K,-2258,17-25
165,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,84,United-States,<=50K,-2258,26-35
166,Self-emp-not-inc,Some-college,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,40,South,<=50K,-2258,26-35
167,Private,Bachelors,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,48,Philippines,<=50K,-2258,36-45
168,Private,Some-college,Separated,Machine-op-inspct,Not-in-family,White,Male,55,United-States,>50K,-2258,36-45
169,State-gov,Assoc-acdm,Divorced,Adm-clerical,Unmarried,White,Male,38,United-States,>50K,-2258,46-55
170,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,45,United-States,>50K,-2258,26-35
171,Federal-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,-2258,56-65
172,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,42,United-States,>50K,-2258,36-45
173,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,40,United-States,>50K,-2258,46-55
174,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,45,United-States,>50K,-2258,26-35
175,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,50,United-States,<=50K,-2258,26-35
176,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,40,United-States,>50K,-2258,17-25
177,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,50,United-States,<=50K,-2258,26-35
178,Private,12th,Divorced,Craft-repair,Not-in-family,White,Male,42,United-States,<=50K,-2258,26-35
179,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,60,United-States,<=50K,-2258,36-45
180,Private,Some-college,Widowed,Adm-clerical,Unmarried,White,Female,38,United-States,>50K,-2258,56-65
181,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,70,United-States,<=50K,-2258,36-45
182,Federal-gov,Bachelors,Divorced,Tech-support,Not-in-family,White,Male,40,United-States,>50K,-2258,36-45
183,State-gov,Doctorate,Never-married,Exec-managerial,Not-in-family,White,Female,50,United-States,>50K,-2258,46-55
184,Self-emp-inc,Some-college,Never-married,Sales,Not-in-family,White,Male,60,United-States,<=50K,-2258,36-45
185,Private,Some-college,Widowed,Farming-fishing,Not-in-family,White,Male,62,United-States,>50K,-2258,46-55
186,Private,HS-grad,Divorced,Farming-fishing,Not-in-family,White,Male,44,United-States,>50K,-2258,36-45
187,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,>50K,-2258,46-55
188,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,-2246,26-35
189,Local-gov,HS-grad,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,40,United-States,>50K,-2246,46-55
190,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,-2246,66-90
191,Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,8,United-States,>50K,-2246,66-90
192,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,-2246,66-90
193,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,28,United-States,>50K,-2246,66-90
194,Private,HS-grad,Separated,Machine-op-inspct,Unmarried,White,Female,40,United-States,<=50K,-2238,26-35
195,Private,10th,Widowed,Adm-clerical,Unmarried,White,Female,35,United-States,<=50K,-2238,26-35
196,Self-emp-not-inc,Bachelors,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,>50K,-2231,17-25
197,Local-gov,9th,Widowed,Handlers-cleaners,Unmarried,White,Male,40,United-States,>50K,-2231,46-55
198,Local-gov,Some-college,Never-married,Protective-serv,Not-in-family,White,Male,40,United-States,>50K,-2231,26-35
199,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Male,40,United-States,<=50K,-2206,66-90
200,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,30,United-States,<=50K,-2206,66-90
201,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,59,Canada,<=50K,-2206,56-65
202,Private,HS-grad,Widowed,Prof-specialty,Unmarried,White,Female,10,United-States,<=50K,-2206,56-65
203,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,5,United-States,<=50K,-2206,66-90
204,Local-gov,Bachelors,Widowed,Prof-specialty,Not-in-family,Black,Female,25,United-States,<=50K,-2206,66-90
205,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,24,United-States,<=50K,-2205,17-25
206,Self-emp-not-inc,Some-college,Divorced,Machine-op-inspct,Not-in-family,White,Male,35,United-States,<=50K,-2205,36-45
207,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,-2205,26-35
208,Private,Assoc-acdm,Never-married,Other-service,Own-child,White,Female,18,United-States,<=50K,-2205,17-25
209,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,-2205,36-45
210,Private,Some-college,Never-married,Other-service,Own-child,Black,Female,40,United-States,<=50K,-2205,36-45
211,Private,Some-college,Never-married,Machine-op-inspct,Other-relative,White,Female,40,Holand-Netherlands,<=50K,-2205,26-35
212,Private,7th-8th,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K,-2205,36-45
213,Private,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,-2205,56-65
214,Self-emp-inc,Masters,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,60,India,>50K,-2201,36-45
215,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,-2179,56-65
216,Private,7th-8th,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,40,Puerto-Rico,<=50K,-2179,26-35
217,Self-emp-inc,Assoc-voc,Married-civ-spouse,Sales,Husband,Other,Male,84,Mexico,<=50K,-2179,36-45
218,Self-emp-not-inc,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,-2179,36-45
219,Self-emp-not-inc,1st-4th,Married-civ-spouse,Transport-moving,Husband,White,Male,18,United-States,<=50K,-2179,56-65
220,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K,-2179,56-65
221,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Wife,White,Female,12,United-States,<=50K,-2179,26-35
222,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,45,United-States,<=50K,-2179,36-45
223,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,<=50K,-2179,26-35
224,Private,10th,Married-civ-spouse,Sales,Husband,White,Male,52,United-States,<=50K,-2179,46-55
225,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,-2179,36-45
226,Self-emp-not-inc,5th-6th,Married-civ-spouse,Sales,Husband,White,Male,50,Mexico,<=50K,-2179,46-55
227,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,<=50K,-2179,56-65
228,Self-emp-not-inc,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K,-2179,36-45
229,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,<=50K,-2179,26-35
230,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,-2174,66-90
231,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,10,United-States,>50K,-2174,56-65
232,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,>50K,-2174,66-90
233,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K,-2174,66-90
234,State-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K,-2174,56-65
235,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,United-States,>50K,-2174,56-65
236,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K,-2174,66-90
237,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,25,South,<=50K,-2163,56-65
238,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,-2149,66-90
239,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,20,United-States,<=50K,-2149,66-90
240,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,72,United-States,<=50K,-2129,36-45
241,Self-emp-not-inc,11th,Married-civ-spouse,Craft-repair,Own-child,White,Male,55,United-States,<=50K,-2129,17-25
